FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech
petrol,BMW,X4,16399.0,15399.0,21899.0,4299.0
petrol,BMW,6 Series GT,18699.0,17599.0,22899.0,4299.0
petrol,BMW,2 Series,15299.0,14399.0,20899.0,3999.0
petrol,Mercedes,A-Class,15299.0,14399.0,20899.0,3799.0
petrol,Mercedes,AMG GT,21899.0,20499.0,24899.0,4299.0
petrol,Mercedes,B-Class,15299.0,14399.0,20899.0,3799.0
petrol,Mercedes,CLA-Class,16399.0,15399.0,21499.0,3999.0
petrol,Mercedes,CLS-Class,18599.0,17399.0,23199.0,4299.0
petrol,Mercedes,E-Class,16899.0,15899.0,20099.0,4299.0
petrol,Mercedes,G63 AMG,20799.0,19499.0,25499.0,4699.0
petrol,Mercedes,GL-Class,19799.0,18599.0,29099.0,4699.0
petrol,Mercedes,GLA-Class,15299.0,14399.0,19299.0,4299.0
petrol,Mercedes,GLE-Class,18699.0,17599.0,22499.0,4299.0
petrol,Mercedes,ML-Class,18699.0,17599.0,22499.0,4699.0
petrol,Mercedes,S-Class,18699.0,17599.0,22499.0,4299.0
petrol,Mercedes,SLK-Class,18699.0,17599.0,22899.0,3999.0
petrol,Mercedes,R-Class,18699.0,17599.0,22899.0,4299.0
petrol,Mercedes,V-Class,,,,4699.0
petrol,Mercedes,Glc,16899.0,15899.0,20899.0,4299.0
petrol,Mercedes,Gls,20799.0,19499.0,26299.0,4699.0
petrol,Mercedes,GLE43 AMG,35299.0,33099.0,40899.0,4699.0
petrol,Audi,A3,14999.0,14099.0,19899.0,3999.0
petrol,Audi,A4,15299.0,14399.0,20899.0,3999.0
petrol,Audi,A6,16399.0,15399.0,21899.0,4299.0
petrol,Audi,A7,17499.0,16399.0,23099.0,4299.0
petrol,Audi,A8,19799.0,18599.0,29099.0,4299.0
petrol,Audi,A8 L,19799.0,18599.0,29099.0,4299.0
petrol,Audi,Q3,15299.0,14399.0,20899.0,4299.0
petrol,Audi,Q5,15299.0,14399.0,21899.0,4299.0
petrol,Audi,Q7,20799.0,19499.0,25499.0,4699.0
petrol,Audi,R8,35299.0,33099.0,46499.0,4299.0
petrol,Audi,Tt,19799.0,18599.0,23299.0,3999.0
petrol,Audi,Q8,20799.0,19499.0,24699.0,4699.0
petrol,Audi,Rs5,19799.0,18599.0,27499.0,4299.0
petrol,Audi,Rs3,17499.0,16399.0,22299.0,3999.0
petrol,Audi,Rs7,22999.0,21599.0,28099.0,4299.0
petrol,Audi,Q2,15299.0,14399.0,21099.0,3799.0
petrol,Audi,S4,16399.0,15399.0,21899.0,3999.0
petrol,Audi,A5,16399.0,15399.0,22299.0,3999.0
petrol,Jaguar,F-Type,26299.0,24699.0,29299.0,4299.0
petrol,Jaguar,Xe,14999.0,14099.0,20699.0,3999.0
petrol,Jaguar,Xf,16399.0,15399.0,21899.0,4299.0
petrol,Jaguar,Xj,18699.0,17599.0,23299.0,4299.0
petrol,Jaguar,F-Pace,16399.0,15399.0,21899.0,4299.0
petrol,Jaguar,Xjr,16399.0,15399.0,21899.0,4299.0
Diesel,Maruti,800,,,,2199.0
Diesel,Maruti,Alto,,,,2299.0
Diesel,Maruti,Alto K10,,,,2299.0
Diesel,Maruti,A-Star,,,,2199.0
Diesel,Maruti,Baleno,3399.0,3199.0,5099.0,2599.0
Diesel,Maruti,Celerio,3099.0,2899.0,4499.0,2299.0
Diesel,Maruti,Ciaz,4299.0,3999.0,5399.0,2499.0
Diesel,Maruti,Eeco,,,,2499.0
Diesel,Maruti,Esteem,,,,2499.0
Diesel,Maruti,Ertiga,3899.0,3699.0,5899.0,2499.0
Diesel,Maruti,Estilo,,,,2399.0
Diesel,Maruti,Grand Vitara,4899.0,4599.0,6899.0,2599.0
Diesel,Maruti,Gypsy,4599.0,4299.0,6699.0,2499.0
Diesel,Maruti,Kizashi,4899.0,4599.0,6999.0,2599.0
Diesel,Maruti,Omni,,,,2399.0
Diesel,Maruti,Ritz,2699.0,2599.0,4499.0,2199.0
Diesel,Maruti,S-Cross,3499.0,3299.0,5499.0,2499.0
Diesel,Maruti,Swift,2999.0,2799.0,4599.0,2499.0
Diesel,Maruti,Swift Dzire,3199.0,2999.0,4999.0,2499.0
Diesel,Maruti,SX4,4099.0,3899.0,6099.0,2499.0
Diesel,Maruti,WagonR,,,,2299.0
Diesel,Maruti,Zen,,,,2199.0
Diesel,Maruti,Vitara Brezza,3499.0,3299.0,5499.0,2699.0
Diesel,Maruti,Ignis,3299.0,3099.0,5599.0,2499.0
Diesel,Maruti,S-Presso,3799.0,3599.0,6099.0,2499.0
Diesel,Hyundai,Accent,3599.0,3399.0,4699.0,2499.0
Diesel,Hyundai,Accent-Viva,4699.0,4399.0,7499.0,2499.0
Diesel,Hyundai,Creta,3899.0,3699.0,5699.0,2699.0
Diesel,Hyundai,Elantra,4699.0,4399.0,7399.0,2499.0
Diesel,Hyundai,Elite-I20,3799.0,3599.0,5299.0,2399.0
Diesel,Hyundai,Eon,,,,2299.0
Diesel,Hyundai,Getz,,,,2499.0
Diesel,Hyundai,Getz-Prime,3799.0,3599.0,5499.0,2499.0
Diesel,Hyundai,Grand-I10,3099.0,2899.0,4499.0,2299.0
Diesel,Hyundai,I10,,,,2299.0
Diesel,Hyundai,i20 Active,3699.0,3499.0,5499.0,2399.0
Diesel,Hyundai,Santa Fe,5999.0,5599.0,8899.0,2499.0
Diesel,Hyundai,Santro Xing,,,,2199.0
Diesel,Hyundai,Sonata,4799.0,4499.0,7999.0,2499.0
Diesel,Hyundai,Sonata Embera,4799.0,4499.0,7499.0,2499.0
Diesel,Hyundai,Sonata Transform,4799.0,4499.0,7499.0,2499.0
Diesel,Hyundai,Verna,4699.0,4399.0,6499.0,2499.0
Diesel,Hyundai,Verna Fluidic,4799.0,4499.0,5899.0,2499.0
Diesel,Hyundai,Verna Transform,4699.0,4399.0,6699.0,2499.0
Diesel,Hyundai,Xcent,3199.0,2999.0,4999.0,2499.0
Diesel,Hyundai,Venue,3999.0,3699.0,6199.0,2699.0
Diesel,Hyundai,Santro,2699.0,2599.0,4099.0,2199.0
Diesel,Hyundai,Aura,2899.0,2799.0,4499.0,2299.0
Diesel,Honda,Accord,,,,2599.0
Diesel,Honda,Amaze,3999.0,3799.0,5999.0,2599.0
Diesel,Honda,Brio,,,,2499.0
Diesel,Honda,City,4099.0,3899.0,6699.0,2599.0
Diesel,Honda,City i-VTEC,,,,2599.0
Diesel,Honda,City ZX,4299.0,3999.0,6699.0,2499.0
Diesel,Honda,Civic,6099.0,5799.0,9199.0,2799.0
Diesel,Honda,Crv,6199.0,5799.0,9099.0,2799.0
Diesel,Honda,Jazz,3999.0,3799.0,6199.0,2499.0
Diesel,Honda,Mobilio,4099.0,3899.0,5999.0,2699.0
Diesel,Toyota,Camry,,,,2599.0
Diesel,Toyota,Corolla,5099.0,4799.0,7799.0,2499.0
Diesel,Toyota,Corolla-Altis,5499.0,5199.0,7799.0,2499.0
Diesel,Toyota,Etios,3899.0,3699.0,5799.0,2499.0
Diesel,Toyota,Etios Cross,3799.0,3599.0,5699.0,2499.0
Diesel,Toyota,Etios Liva,3799.0,3599.0,5699.0,2499.0
Diesel,Toyota,Fortuner,7999.0,7499.0,9599.0,2899.0
Diesel,Toyota,Innova,5799.0,5499.0,7799.0,2899.0
Diesel,Toyota,Land Cruiser,7999.0,7499.0,10399.0,2799.0
Diesel,Toyota,Innova Crysta,5999.0,5599.0,8299.0,2799.0
Diesel,Toyota,Yaris,,,,2499.0
Diesel,Toyota,Glanza,3299.0,3099.0,5099.0,2499.0
Diesel,Toyota,Qualis,5199.0,4899.0,7799.0,2699.0
Diesel,Toyota,Urban Cruiser,,,,2499.0
Diesel,Toyota,Sera,,,,2499.0
Diesel,Mahindra,Bolero,5299.0,4999.0,7399.0,2699.0
Diesel,Mahindra,Quanto,5299.0,4999.0,7299.0,2699.0
Diesel,Mahindra,Scorpio,5299.0,4999.0,7399.0,2899.0
Diesel,Mahindra,Scorpio Getaway,5299.0,4999.0,7399.0,2899.0
Diesel,Mahindra,Thar,5999.0,5599.0,8499.0,2699.0
Diesel,Mahindra,Verito,5199.0,4899.0,7299.0,2499.0
Diesel,Mahindra,XUV500,5499.0,5199.0,7399.0,2999.0
Diesel,Mahindra,Xylo,5299.0,4999.0,7399.0,2699.0
Diesel,Mahindra,TUV300,5499.0,5199.0,7499.0,2699.0
Diesel,Mahindra,KUV100,3499.0,3299.0,5699.0,2499.0
Diesel,Mahindra,Nuvosport,4499.0,4199.0,6599.0,2499.0
Diesel,Mahindra,Logan,5199.0,4899.0,7299.0,2499.0
Diesel,Mahindra,Marazzo,5299.0,4999.0,7399.0,2899.0
Diesel,Mahindra,XUV300,4199.0,3899.0,6399.0,2699.0
Diesel,Mahindra,Bolero Camper,5299.0,4999.0,7399.0,2699.0
Diesel,Mahindra,Bolero Pickup,5299.0,4999.0,7399.0,2699.0
Diesel,Tata,Aria,5299.0,4999.0,7299.0,2599.0
Diesel,Tata,Bolt,3899.0,3699.0,6799.0,2499.0
Diesel,Tata,Indica,3799.0,3599.0,5099.0,2199.0
Diesel,Tata,Indica eV2,3799.0,3599.0,5099.0,2199.0
Diesel,Tata,Indica V2,3799.0,3599.0,5099.0,2199.0
Diesel,Tata,Indica Vista,3799.0,3599.0,5999.0,2199.0
Diesel,Tata,Indigo,3899.0,3699.0,5399.0,2499.0
Diesel,Tata,Indigo CS,3899.0,3699.0,6799.0,2499.0
Diesel,Tata,Indigo eCS,3899.0,3699.0,6799.0,2499.0
Diesel,Tata,Indigo Marina,3899.0,3699.0,6799.0,2499.0
Diesel,Tata,Indigo XL,3899.0,3699.0,6799.0,2499.0
Diesel,Tata,Manza,4399.0,4099.0,7099.0,2499.0
Diesel,Tata,Nano,,,,1999.0
Diesel,Tata,Nano GenX,,,,1999.0
Diesel,Tata,Safari,6299.0,5899.0,9299.0,2899.0
Diesel,Tata,Safari Storme,6299.0,5899.0,9299.0,2899.0
Diesel,Tata,Sumo Gold,5799.0,5499.0,8699.0,2699.0
Diesel,Tata,Sumo Grande,5799.0,5499.0,8699.0,2699.0
Diesel,Tata,Sumo Spacio,5799.0,5499.0,8699.0,2699.0
Diesel,Tata,Sumo Victa,5799.0,5499.0,8699.0,2699.0
Diesel,Tata,Zest,4399.0,4099.0,6999.0,2499.0
Diesel,Tata,Tiago,3899.0,3699.0,5699.0,2599.0
Diesel,Tata,Nexon,4399.0,4099.0,6599.0,2499.0
Diesel,Tata,Tigor,4099.0,3899.0,5799.0,2499.0
Diesel,Tata,Hexa,7999.0,7499.0,11599.0,2599.0
Diesel,Tata,Venture,4899.0,4599.0,6999.0,2699.0
Diesel,Tata,Winger,4799.0,4499.0,6699.0,2499.0
Diesel,Tata,Harrier,5299.0,4899.0,7199.0,2799.0
Diesel,Tata,Punch,,,,2499.0
Diesel,Tata,Xenon,6299.0,5899.0,9299.0,2899.0
Diesel,Tata,Altroz,3899.0,3699.0,5499.0,2399.0
Diesel,Tata,Tiago NRG,3899.0,3699.0,5699.0,2499.0
Diesel,Ford,EcoSport,4099.0,3899.0,6299.0,2799.0
Diesel,Ford,Endeavour,7999.0,7499.0,9099.0,2799.0
Diesel,Ford,Escort,4299.0,3999.0,6799.0,2699.0
Diesel,Ford,Fiesta,4299.0,3999.0,6799.0,2499.0
Diesel,Ford,Fiesta Classic,4299.0,3999.0,6799.0,2499.0
Diesel,Ford,Figo,3399.0,3199.0,5599.0,2199.0
Diesel,Ford,Figo Aspire,3699.0,3499.0,5899.0,2499.0
Diesel,Chevrolet,Aveo,3999.0,3799.0,5999.0,2499.0
Diesel,Chevrolet,Beat,2999.0,2799.0,4899.0,2199.0
Diesel,Chevrolet,Captiva,5999.0,5699.0,8899.0,2599.0
Diesel,Chevrolet,Cruze,6099.0,5699.0,9199.0,2599.0
Diesel,Chevrolet,Enjoy,4899.0,4599.0,6999.0,2499.0
Diesel,Chevrolet,Optra,5899.0,5499.0,8899.0,2499.0
Diesel,Chevrolet,Optra Magnum,5899.0,5499.0,8899.0,2499.0
