FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
petrol,Audi,Rs7,22999,22099,21799,28099,4299,50000,21999
petrol,Audi,Q2,15299,14899,14599,21099,3799,40000,14799
petrol,Audi,S4,16399,15899,15599,21899,3999,50000,15799
petrol,Audi,A5,16399,15899,15599,22299,3999,50000,15799
petrol,Jaguar,F-Type,21999,20499,20199,29299,4299,45000,20399
petrol,Jaguar,Xe,15999,15499,15199,20699,3999,40000,15399
petrol,Jaguar,Xf,16999,16499,16199,21899,4299,40000,16399
petrol,Jaguar,Xj,17999,17499,17199,23299,4299,40000,17399
petrol,Jaguar,F-Pace,16999,16499,16199,21899,4299,45000,16399
petrol,Jaguar,Xjr,16999,16499,16199,21899,4299,50000,16399
Diesel,Maruti,800,#N/A,#N/A,200,,2199,#N/A,400
Diesel,Maruti,Alto,#N/A,#N/A,200,,2299,#N/A,400
Diesel,Maruti,Alto K10,#N/A,#N/A,200,,2299,#N/A,400
Diesel,Maruti,A-Star,#N/A,#N/A,200,,2199,#N/A,400
Diesel,Maruti,Baleno,3099,3399,3099,5099,2599,#N/A,3299
Diesel,Maruti,Celerio,2999,3299,2999,4499,2299,#N/A,3199
Diesel,Maruti,Ciaz,3699,3899,3599,5399,2499,#N/A,3799
Diesel,Maruti,Eeco,#N/A,#N/A,200,,2499,#N/A,400
Diesel,Maruti,Esteem,#N/A,#N/A,200,,2499,#N/A,400
Diesel,Maruti,Ertiga,3899,4199,3899,5899,2499,#N/A,4099
Diesel,Maruti,Estilo,#N/A,#N/A,200,,2399,#N/A,400
Diesel,Maruti,Grand Vitara,3999,4099,3799,6899,2599,#N/A,3999
Diesel,Maruti,Gypsy,4599,4799,4499,6699,2499,#N/A,4699
Diesel,Maruti,Kizashi,4899,5099,4799,6999,2599,#N/A,4999
Diesel,Maruti,Omni,#N/A,#N/A,200,,2399,#N/A,400
Diesel,Maruti,Ritz,3199,3499,3199,4499,2199,#N/A,3399
Diesel,Maruti,S-Cross,3799,4199,3899,5499,2499,#N/A,4099
Diesel,Maruti,Swift,2999,3299,2999,4599,2499,#N/A,3199
Diesel,Maruti,Swift Dzire,3199,3499,3199,4999,2499,#N/A,3399
Diesel,Maruti,SX4,3499,3699,3399,6099,2499,#N/A,3599
